url,parent,child,depth
https://www.nseindia.com/contact/contact-us,contact,contact-us,2
https://www.nseindia.com/nse-foundation/about-us,nse-foundation,about-us,2
https://www.nseindia.com/regulations/queries-raised-to-listed-companies,regulations,queries-raised-to-listed-companies,2
https://www.nseindia.com/invest/complaint-arbitration-status,invest,complaint-arbitration-status,2
https://www.nseindia.com/learn/nse-management-development-program,learn,nse-management-development-program,2
https://www.nseindia.com/careers-at-nse,,careers-at-nse,1
https://www.nseindia.com/regulations/exchange-market-surveillance-regulatory-actions,regulations,exchange-market-surveillance-regulatory-actions,2
https://www.nseindia.com/invest/about-defaulter-section,invest,about-defaulter-section,2
https://www.nseindia.com/market-data/pre-open-market-cm-and-emerge-market,market-data,pre-open-market-cm-and-emerge-market,2
https://www.nseindia.com/resources/research-initiative-financial-market-nse-nyu,resources,research-initiative-financial-market-nse-nyu,2
https://www.nseindia.com/market-data/live-equity-market?symbol=NIFTY%20BANK,market-data,live-equity-market,2
https://www.nseindia.com/invest/investor-service-cells-committees-panel,invest,investor-service-cells-committees-panel,2
https://www.nseindia.com/trade/platform-services-neat-trading-system,trade,platform-services-neat-trading-system,2
https://www.nseindia.com/products-services/about-initial-public-offerings,products-services,about-initial-public-offerings,2
https://www.nseindia.com/learn/courses-for-dealers,learn,courses-for-dealers,2
https://www.nseindia.com/products-services/about-interest-rate-derivatives,products-services,about-interest-rate-derivatives,2
https://www.nseindia.com/market-data/bonds-traded-in-capital-market,market-data,bonds-traded-in-capital-market,2
https://www.nseindia.com/market-data/real-time-data-subscription,market-data,real-time-data-subscription,2
https://www.nseindia.com/learn/visit-nse-program,learn,visit-nse-program,2
https://www.nseindia.com/market-data/securities-information-contracts-available-for-trading,market-data,securities-information-contracts-available-for-trading,2
https://www.nseindia.com/regulation,,regulation,1
https://www.nseindia.com/market-data/price-bands-surveillance-actions,market-data,price-bands-surveillance-actions,2
https://www.nseindia.com/learn/class-room-courses,learn,class-room-courses,2
https://www.nseindia.com/companies-listing/raising-capital-public-issues-listing-on-emerge,companies-listing,raising-capital-public-issues-listing-on-emerge,2
https://www.nseindia.com/invest/first-time-investor-know-your-rights,invest,first-time-investor-know-your-rights,2
https://www.nseindia.com/companies-listing/raising-capital-debt-private-placement,companies-listing,raising-capital-debt-private-placement,2
https://www.nseindia.com/products-services/initial-public-offerings-user-hierarchy,products-services,initial-public-offerings-user-hierarchy,2
https://www.nseindia.com/learn/self-study-ncfm-modules-advanced-algorithmic-trading-module,learn,self-study-ncfm-modules-advanced-algorithmic-trading-module,2
https://www.nseindia.com/regulations/exchange-disclosures-nse-business-responsibility-report,regulations,exchange-disclosures-nse-business-responsibility-report,2
https://www.nseindia.com/nseint_clearing/nse-international-clearing-clearing-settlement,nseint_clearing,nse-international-clearing-clearing-settlement,2
https://www.nseindia.com/products-services/tri-party-repo-settlement,products-services,tri-party-repo-settlement,2
https://www.nseindia.com/learn/partner-programs-smart-trader-commodity-and-currency-programme,learn,partner-programs-smart-trader-commodity-and-currency-programme,2
https://www.nseindia.com/products-services/equity-derivatives-clearing-settlement,products-services,equity-derivatives-clearing-settlement,2
https://www.nseindia.com/products-services/offer-for-sale-announcement,products-services,offer-for-sale-announcement,2
https://www.nseindia.com/nsetech/financial-information-disclosures,nsetech,financial-information-disclosures,2
https://www.nseindia.com/learn/self-study-ncfm-modules-intermediate-nse-certified-quality-analyst-module,learn,self-study-ncfm-modules-intermediate-nse-certified-quality-analyst-module,2
https://www.nseindia.com/reports/rumour-verification,reports,rumour-verification,2
https://www.nseindia.com/learn/model-tests,learn,model-tests,2
https://www.nseindia.com/products-services/equity-derivatives-liquid-assets,products-services,equity-derivatives-liquid-assets,2
https://www.nseindia.com/nseint_clearing/nse-international-clearing-notifications,nseint_clearing,nse-international-clearing-notifications,2
https://www.nseindia.com/products-services/corporate-bonds-clearing-settlement,products-services,corporate-bonds-clearing-settlement,2
https://www.nseindia.com/trade/test-market-environment-for-members-faqs,trade,test-market-environment-for-members-faqs,2
https://www.nseindia.com/india-etf-conference-2018,,india-etf-conference-2018,1
https://www.nseindia.com/learn/self-study-ncfm-modules-intermediate-dealers-modules,learn,self-study-ncfm-modules-intermediate-dealers-modules,2
